subject	session	run	nifti	status	current_mask	mask_voxels	brain_fraction	reference_mask	reference_method	reference_mask_voxels	reference_brain_fraction	dice	dice_flag_lt_0_90	error
sub-001	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-001/ses-01/dwi/sub-001_ses-01_run-01_dwi.nii.gz	NO_MASK										
sub-001	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-001/ses-01/dwi/sub-001_ses-01_run-02_dwi.nii.gz	NO_MASK										
sub-001	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-001/ses-01/dwi/sub-001_ses-01_run-05_dwi.nii.gz	NO_MASK										
sub-001	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-001/ses-02/dwi/sub-001_ses-02_run-01_dwi.nii.gz	NO_MASK										
sub-001	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-001/ses-02/dwi/sub-001_ses-02_run-02_dwi.nii.gz	NO_MASK										
sub-001	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-001/ses-02/dwi/sub-001_ses-02_run-05_dwi.nii.gz	NO_MASK										
sub-002	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-002/ses-01/dwi/sub-002_ses-01_run-01_dwi.nii.gz	NO_MASK										
sub-002	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-002/ses-01/dwi/sub-002_ses-01_run-02_dwi.nii.gz	NO_MASK										
sub-002	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-002/ses-01/dwi/sub-002_ses-01_run-05_dwi.nii.gz	NO_MASK										
sub-002	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-002/ses-02/dwi/sub-002_ses-02_run-01_dwi.nii.gz	NO_MASK										
sub-002	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-002/ses-02/dwi/sub-002_ses-02_run-02_dwi.nii.gz	NO_MASK										
sub-002	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-002/ses-02/dwi/sub-002_ses-02_run-05_dwi.nii.gz	NO_MASK										
sub-003	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-003/ses-01/dwi/sub-003_ses-01_run-01_dwi.nii.gz	NO_MASK										
sub-003	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-003/ses-01/dwi/sub-003_ses-01_run-02_dwi.nii.gz	NO_MASK										
sub-003	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-003/ses-01/dwi/sub-003_ses-01_run-05_dwi.nii.gz	NO_MASK										
sub-003	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-003/ses-02/dwi/sub-003_ses-02_run-01_dwi.nii.gz	NO_MASK										
sub-003	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-003/ses-02/dwi/sub-003_ses-02_run-02_dwi.nii.gz	NO_MASK										
sub-003	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-003/ses-02/dwi/sub-003_ses-02_run-05_dwi.nii.gz	NO_MASK										
sub-004	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-004/ses-01/dwi/sub-004_ses-01_run-01_dwi.nii.gz	NO_MASK										
sub-004	ses-01	run-02	/lustre07/scratch/alexrees/bids/sub-004/ses-01/dwi/sub-004_ses-01_run-02_dwi.nii.gz	NO_MASK										
sub-004	ses-01	run-05	/lustre07/scratch/alexrees/bids/sub-004/ses-01/dwi/sub-004_ses-01_run-05_dwi.nii.gz	NO_MASK										
sub-004	ses-02	run-01	/lustre07/scratch/alexrees/bids/sub-004/ses-02/dwi/sub-004_ses-02_run-01_dwi.nii.gz	NO_MASK										
sub-004	ses-02	run-02	/lustre07/scratch/alexrees/bids/sub-004/ses-02/dwi/sub-004_ses-02_run-02_dwi.nii.gz	NO_MASK										
sub-004	ses-02	run-05	/lustre07/scratch/alexrees/bids/sub-004/ses-02/dwi/sub-004_ses-02_run-05_dwi.nii.gz	NO_MASK										
sub-005	ses-01	run-01	/lustre07/scratch/alexrees/bids/sub-005/ses-01/dwi/sub-005_ses-01_run-01_dwi.nii.gz	NO_MASK										
