check	subject	session	modality	original_file	replacement_file	destination	audit_status	status	detail
anatomical_replacement_audit	sub-001	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.nii.gz	sub-001/ses-01/anat/sub-001_ses-01_run-01_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-001	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.nii.gz	sub-001/ses-01/anat/sub-001_ses-01_run-02_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-001	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-001/ses-01/anat/sub-001_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-001/ses-01/anat/sub-001_ses-01_run-03_T1w.nii.gz	sub-001/ses-01/anat/sub-001_ses-01_run-03_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-001	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-001/ses-02/anat/sub-001_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-01_T1w.nii.gz	sub-001/ses-02/anat/sub-001_ses-02_run-01_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-001	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-001/ses-02/anat/sub-001_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-02_T1w.nii.gz	sub-001/ses-02/anat/sub-001_ses-02_run-02_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-001	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-001/ses-02/anat/sub-001_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-001/ses-02/anat/sub-001_ses-02_run-03_T1w.nii.gz	sub-001/ses-02/anat/sub-001_ses-02_run-03_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-002	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-002/ses-01/anat/sub-002_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-002/ses-01/anat/sub-002_ses-01_run-01_T1w.nii.gz	sub-002/ses-01/anat/sub-002_ses-01_run-01_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-002	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-002/ses-01/anat/sub-002_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-002/ses-01/anat/sub-002_ses-01_run-02_T1w.nii.gz	sub-002/ses-01/anat/sub-002_ses-01_run-02_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-002	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-002/ses-01/anat/sub-002_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-002/ses-01/anat/sub-002_ses-01_run-03_T1w.nii.gz	sub-002/ses-01/anat/sub-002_ses-01_run-03_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-002	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-002/ses-02/anat/sub-002_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-002/ses-02/anat/sub-002_ses-02_run-01_T1w.nii.gz	sub-002/ses-02/anat/sub-002_ses-02_run-01_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-002	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-002/ses-02/anat/sub-002_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-002/ses-02/anat/sub-002_ses-02_run-02_T1w.nii.gz	sub-002/ses-02/anat/sub-002_ses-02_run-02_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-002	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-002/ses-02/anat/sub-002_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-002/ses-02/anat/sub-002_ses-02_run-03_T1w.nii.gz	sub-002/ses-02/anat/sub-002_ses-02_run-03_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-003	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-003/ses-01/anat/sub-003_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-003/ses-01/anat/sub-003_ses-01_run-01_T1w.nii.gz	sub-003/ses-01/anat/sub-003_ses-01_run-01_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-003	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-003/ses-01/anat/sub-003_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-003/ses-01/anat/sub-003_ses-01_run-02_T1w.nii.gz	sub-003/ses-01/anat/sub-003_ses-01_run-02_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-003	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-003/ses-01/anat/sub-003_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-003/ses-01/anat/sub-003_ses-01_run-03_T1w.nii.gz	sub-003/ses-01/anat/sub-003_ses-01_run-03_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-003	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-003/ses-02/anat/sub-003_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-003/ses-02/anat/sub-003_ses-02_run-01_T1w.nii.gz	sub-003/ses-02/anat/sub-003_ses-02_run-01_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-003	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-003/ses-02/anat/sub-003_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-003/ses-02/anat/sub-003_ses-02_run-02_T1w.nii.gz	sub-003/ses-02/anat/sub-003_ses-02_run-02_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-003	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-003/ses-02/anat/sub-003_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-003/ses-02/anat/sub-003_ses-02_run-03_T1w.nii.gz	sub-003/ses-02/anat/sub-003_ses-02_run-03_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-004	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-004/ses-01/anat/sub-004_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-004/ses-01/anat/sub-004_ses-01_run-01_T1w.nii.gz	sub-004/ses-01/anat/sub-004_ses-01_run-01_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-004	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-004/ses-01/anat/sub-004_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-004/ses-01/anat/sub-004_ses-01_run-02_T1w.nii.gz	sub-004/ses-01/anat/sub-004_ses-01_run-02_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-004	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-004/ses-01/anat/sub-004_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-004/ses-01/anat/sub-004_ses-01_run-03_T1w.nii.gz	sub-004/ses-01/anat/sub-004_ses-01_run-03_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-004	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-004/ses-02/anat/sub-004_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-004/ses-02/anat/sub-004_ses-02_run-01_T1w.nii.gz	sub-004/ses-02/anat/sub-004_ses-02_run-01_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-004	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-004/ses-02/anat/sub-004_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-004/ses-02/anat/sub-004_ses-02_run-02_T1w.nii.gz	sub-004/ses-02/anat/sub-004_ses-02_run-02_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-004	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-004/ses-02/anat/sub-004_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-004/ses-02/anat/sub-004_ses-02_run-03_T1w.nii.gz	sub-004/ses-02/anat/sub-004_ses-02_run-03_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-005	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-005/ses-01/anat/sub-005_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-005/ses-01/anat/sub-005_ses-01_run-01_T1w.nii.gz	sub-005/ses-01/anat/sub-005_ses-01_run-01_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-005	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-005/ses-01/anat/sub-005_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-005/ses-01/anat/sub-005_ses-01_run-02_T1w.nii.gz	sub-005/ses-01/anat/sub-005_ses-01_run-02_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-005	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-005/ses-01/anat/sub-005_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-005/ses-01/anat/sub-005_ses-01_run-03_T1w.nii.gz	sub-005/ses-01/anat/sub-005_ses-01_run-03_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-005	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-005/ses-02/anat/sub-005_ses-02_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-005/ses-02/anat/sub-005_ses-02_run-01_T1w.nii.gz	sub-005/ses-02/anat/sub-005_ses-02_run-01_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-005	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-005/ses-02/anat/sub-005_ses-02_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-005/ses-02/anat/sub-005_ses-02_run-02_T1w.nii.gz	sub-005/ses-02/anat/sub-005_ses-02_run-02_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-005	ses-02	T1w	/lustre07/scratch/alexrees/bids/sub-005/ses-02/anat/sub-005_ses-02_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-005/ses-02/anat/sub-005_ses-02_run-03_T1w.nii.gz	sub-005/ses-02/anat/sub-005_ses-02_run-03_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-006	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-006/ses-01/anat/sub-006_ses-01_run-01_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-006/ses-01/anat/sub-006_ses-01_run-01_T1w.nii.gz	sub-006/ses-01/anat/sub-006_ses-01_run-01_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-006	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-006/ses-01/anat/sub-006_ses-01_run-02_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-006/ses-01/anat/sub-006_ses-01_run-02_T1w.nii.gz	sub-006/ses-01/anat/sub-006_ses-01_run-02_T1w.nii.gz	WOULD_REPLACE	OK	
anatomical_replacement_audit	sub-006	ses-01	T1w	/lustre07/scratch/alexrees/bids/sub-006/ses-01/anat/sub-006_ses-01_run-03_T1w.nii.gz	/lustre07/scratch/alexrees/derivatives/defacing/sub-006/ses-01/anat/sub-006_ses-01_run-03_T1w.nii.gz	sub-006/ses-01/anat/sub-006_ses-01_run-03_T1w.nii.gz	WOULD_REPLACE	OK	
